hour,Triage_1,Triage_2,Triage_3,Triage_4,Triage_5
0,0.05557455540355677,0.3327633378932969,0.5355677154582763,0.07327291381668946,0.0028214774281805745
1,0.056435241575314654,0.3384084449857897,0.5336987413723102,0.06871701177425904,0.0027405602923264312
2,0.05836236933797909,0.3407167745146839,0.5373320059731209,0.06097560975609756,0.002613240418118467
3,0.058929374718848404,0.33723196881091616,0.5389113810166442,0.06312790523316839,0.001799370220422852
4,0.06302228412256268,0.31946378830083566,0.5588440111420613,0.056406685236768804,0.002263231197771588
5,0.05914870093974572,0.3248571955039617,0.5522388059701493,0.06135986733001658,0.0023954302561267735
6,0.057952555325585096,0.28546409807355516,0.5725202993153956,0.08024199968157937,0.003821047603884732
7,0.0499219968798752,0.2599303972158886,0.5858634345373815,0.10044401776071042,0.0038401536061442457
8,0.057388199285835745,0.2597347389899677,0.5817888114266281,0.0958170379187213,0.005271212378847135
9,0.05725843208751139,0.2870897903372835,0.5692228805834093,0.08358021877848679,0.0028486782133090244
10,0.05921568627450981,0.313202614379085,0.5491503267973856,0.07520697167755991,0.003224400871459695
11,0.056597829891494575,0.31652082604130205,0.5575078753937697,0.06709835491774589,0.0022751137556877845
12,0.058892598979928816,0.3371005026969508,0.5383627490551499,0.06358932961508824,0.0020548196528822516
13,0.05839002267573696,0.341609977324263,0.5354497354497354,0.06145124716553288,0.0030990173847316705
14,0.05910586413779756,0.34836462163731374,0.5263402361137991,0.0630927036965357,0.0030965744145539
15,0.058946092358980184,0.3512899193090124,0.5270674697882335,0.06042353297723226,0.0022729855665416525
16,0.05800622579910409,0.3603750664338319,0.5195884898640953,0.05941082681649078,0.002619391086477868
17,0.05737510851550785,0.3579827953594823,0.5238734117275669,0.05879567516375977,0.001973009233683214
18,0.05782892277013834,0.3600598230235553,0.5196709733704458,0.059989198620746954,0.002451082215113622
19,0.05211961600543709,0.34028544728570215,0.5342791606490528,0.07123438960156317,0.002081386458244839
20,0.05485409652076319,0.33492330714552937,0.5358679386457165,0.0720164609053498,0.0023381967826412273
21,0.05760331897239509,0.3369501622254135,0.5306100739322377,0.07249614382213712,0.0023403010478166056
22,0.06018263161120304,0.341545627259913,0.5264448121590979,0.06974321260035546,0.002083716369430655
23,0.05636309700385642,0.3340255117175912,0.5307030554731533,0.07586769504598043,0.00304064075941857
